Index,Magnitude
0,3.80119e+06
1,12642.2
2,13210.7
3,14088.6
4,15341
5,16925
6,18812.3
7,21070
8,23718.4
9,26802.4
10,30395.5
11,34575.5
12,39512
13,45341.4
14,52308.2
15,60762.1
16,71126.6
17,84090.4
18,100724
19,122688
20,152878
21,196660
22,265445
23,388122
24,665935
25,1.87497e+06
26,2.97015e+06
27,896333
28,552518
29,412393
30,337226
31,291090
32,260544
33,239416
34,224582
35,214185
36,207240
37,203123
38,201473
39,202222
40,205421
41,211341
42,220479
43,233719
44,252512
45,279329
46,318526
47,378856
48,479985
49,677327
50,1.21146e+06
51,7.13121e+06
52,1.76179e+06
53,778618
54,501224
55,372557
56,299690
57,253846
58,223152
59,201903
60,186987
61,176579
62,169583
63,165340
64,163415
65,163652
66,166032
67,170691
68,178026
69,188702
70,203892
71,225730
72,258084
73,309087
74,398569
75,590494
76,1.26904e+06
77,4.86814e+06
78,781248
79,412849
80,277091
81,207983
82,167310
83,141505
84,124544
85,113326
86,106133
87,101872
88,99933.6
89,99890
90,101493
91,104701
92,109547
93,116214
94,125119
95,136989
96,152965
97,175246
98,207934
99,260155
100,356091
101,589330
102,1.9888e+06
103,1.27731e+06
104,460515
105,272001
106,188148
107,140717
108,110210
109,88909.7
110,73200.3
111,61147.1
112,51626.3
113,43896.6
114,37582
115,32360
116,27964.2
117,24371.4
118,21447.3
119,19146
120,17413.8
121,16288.9
122,15765.5
123,15650.8
124,16167.1
125,16940.7
126,18080.7
127,19747.1
128,4.67378e+06
129,21358.7
130,23439.1
131,25491.5
132,27593.5
133,29874.6
134,32346.9
135,34976.7
136,37895
137,41127.9
138,44749.9
139,48823.8
140,53493.1
141,58919
142,65258.1
143,72853.7
144,82089.5
145,93551.2
146,108197
147,127424
148,153793
149,191997
150,252065
151,359172
152,601970
153,1.659e+06
154,2.57953e+06
155,765327
156,464938
157,342779
158,277421
159,237556
160,211295
161,193321
162,180818
163,172234
164,166638
165,163492
166,162469
167,163472
168,166507
169,171756
170,179545
171,190580
172,205867
173,227231
174,257992
175,304510
176,381315
177,529416
178,926384
179,5.30003e+06
180,1.26426e+06
181,534785
182,326585
183,227966
184,170349
185,132460
186,105500
187,85151.6
188,69149.5
189,56060.3
190,45009.9
191,35348.3
192,26725.6
193,18910.5
194,12176.6
195,8801.05
196,12552.6
197,20945.3
198,32058.9
199,46420.6
200,65970.5
201,94904.3
202,143504
203,244896
204,597748
205,2.57606e+06
206,459280
207,267164
208,195475
209,158340
210,135947
211,121380
212,111453
213,104659
214,100092
215,97306.1
216,96008.6
217,96052.3
218,97441.2
219,100205
220,104544
221,110757
222,119375
223,131152
224,147536
225,170861
226,205792
227,262347
228,367538
229,625285
230,2.17845e+06
231,1.45179e+06
232,545371
233,337193
234,245347
235,193931
236,161338
237,138929
238,122754
239,110591
240,101216
241,93852.1
242,87921
243,83206.5
244,79347.5
245,76209.7
246,73647.6
247,71620
248,69973.4
249,68685.5
250,67733.8
251,67102.6
252,66683.2
253,66556.5
254,66758.1
255,67197.4
256,3.79188e+06
257,67529.3
258,68650
259,69830.2
260,71260.6
261,72922
262,74888.4
263,77140.2
264,79739.4
265,82726.7
266,86211.5
267,90234.2
268,94913.5
269,100447
270,106975
271,114747
272,124284
273,136084
274,151116
275,170655
276,197307
277,235643
278,295383
279,401229
280,639642
281,1.67304e+06
282,2.46521e+06
283,691166
284,395991
285,274797
286,209007
287,167931
288,140063
289,120158
290,105526
291,94577.2
292,86439.6
293,80575.5
294,76680.6
295,74564.2
296,74214.1
297,75732.6
298,79209.6
299,85104.1
300,94041.1
301,107162
302,126406
303,155948
304,205088
305,300042
306,554936
307,3.36385e+06
308,853256
309,384599
310,251049
311,188068
312,151457
313,127659
314,111003
315,98754.8
316,89419
317,82146.3
318,76405.8
319,71754.8
320,68016.2
321,65020.1
322,62649.9
323,60821.9
324,59475.8
325,58645.1
326,58288.4
327,58513.9
328,59544.4
329,61782
330,66420.8
331,77291.5
332,119184
333,304865
334,47991.3
335,41386.6
336,43389.8
337,45997.1
338,48469.4
339,51023.4
340,53647.7
341,56452.3
342,59558.1
343,63028.7
344,66941
345,71463.8
346,76741.7
347,82813.9
348,90197.1
349,99117
350,110140
351,124215
352,142682
353,168021
354,204897
355,263438
356,370888
357,631734
358,2.19602e+06
359,1.4567e+06
360,542657
361,331769
362,238149
363,185189
364,151117
365,127413
366,109937
367,96529.1
368,85880.5
369,77300
370,70186.3
371,64170.9
372,59088.2
373,54699.8
374,50901
375,47541.2
376,44520
377,41952.6
378,39617.6
379,37508.1
380,35596.5
381,33947.1
382,32447.3
383,31108.4
384,316629
385,28559.4
386,27620.1
387,26729.5
388,25993.7
389,25455.8
390,24877.9
391,24483.8
392,24241
393,24203.3
394,24234.2
395,24448.7
396,24929.4
397,25637.5
398,26703.7
399,28170.2
400,30228.2
401,33003.2
402,36730.1
403,41928.7
404,49364.4
405,60526
406,78434.7
407,110923
408,185266
409,510836
410,798055
411,238297
412,146043
413,108759
414,89020
415,77175.2
416,69533
417,64416.6
418,60999.7
419,58831.6
420,57615
421,57088.8
422,57300.8
423,58207
424,59733.1
425,62051.4
426,65286.1
427,69566.8
428,75399.3
429,83403.3
430,94790.3
431,111783
432,139684
433,193311
434,336863
435,1.91541e+06
436,455020
437,191545
438,116630
439,81531
440,61549.7
441,48962.8
442,40773.3
443,35431.8
444,32219.1
445,30706.8
446,30435.9
447,31326.3
448,33125.5
449,35762.2
450,39279.3
451,43715.3
452,49311.5
453,56400.9
454,65508
455,77839.7
456,95199.5
457,121748
458,167225
459,263252
460,599602
461,2.43607e+06
462,411443
463,228255
464,160015
465,124762
466,103618
467,89820.8
468,80514.5
469,74066.7
470,69715.8
471,66976.9
472,65636.1
473,65430.2
474,66380.2
475,68459.1
476,71787.9
477,76530.8
478,83146
479,92053
480,104299
481,121673
482,147432
483,188772
484,265150
485,451458
486,1.57042e+06
487,1.04432e+06
488,390174
489,239486
490,172626
491,134907
492,110712
493,93839.7
494,81652.6
495,72185.5
496,64708.2
497,58815.4
498,53923.3
499,49841.8
500,46432.7
501,43553
502,41111.4
503,39049
504,37232
505,35752.2
506,34497.2
507,33460.5
508,32648.5
509,31935.3
510,31380.5
511,30738.6
512,1.64631e+06
513,32137.5
514,32051.8
515,32398.4
516,32880.6
517,33642.4
518,34708.6
519,35907.3
520,37392
521,39117.3
522,41228.2
523,43647.8
524,46448.5
525,49872.1
526,53900.1
527,58779.5
528,64749.8
529,72117.3
530,81605.3
531,93880.8
532,110648
533,134818
534,172411
535,239181
536,389603
537,1.04197e+06
538,1.57247e+06
539,451393
540,265086
541,188685
542,147378
543,121673
544,104350
545,92055.6
546,83118.6
547,76589
548,71825.1
549,68516.9
550,66453.2
551,65535.2
552,65728.8
553,67060.5
554,69813.8
555,74215.1
556,80636.9
557,90045.1
558,103900
559,125085
560,160440
561,228904
562,412531
563,2.43466e+06
564,602466
565,264433
566,167934
567,122302
568,95718.1
569,78267.2
570,65839.8
571,56627.4
572,49566.6
573,43978.2
574,39480.5
575,35896.5
576,33305.1
577,31427
578,30498.4
579,30704.4
580,32167.3
581,35287
582,40561.9
583,48725.9
584,61200.7
585,81085.7
586,116049
587,190588
588,452730
589,1.91659e+06
590,336005
591,192871
592,139413
593,111571
594,94605.2
595,83393.8
596,75361.3
597,69511.2
598,65213.8
599,62057.1
600,59761.9
601,58196.3
602,57336.7
603,57132.5
604,57582
605,58807.6
606,61049.7
607,64470.7
608,69568.4
609,77244.8
610,89117.1
611,108823
612,146120
613,238319
614,797122
615,511919
616,185495
617,111058
618,78498.9
619,60507
620,49387.9
621,41932
622,36747.5
623,32954
624,30219.3
625,28174
626,26678.8
627,25585.3
628,24891.9
629,24417.3
630,24259
631,24144.1
632,24228.6
633,24474.7
634,24898.1
635,25444.7
636,26018.3
637,26786.1
638,27684.2
639,28700.7
640,316553
641,30885.9
642,32229
643,33794.3
644,35487.8
645,37317.8
646,39492.1
647,41814
648,44446.6
649,47429.4
650,50736
651,54585.2
652,58976.2
653,64076.5
654,70058.3
655,77136.5
656,85723.5
657,96435.5
658,109763
659,127226
660,150929
661,184945
662,237803
663,331349
664,541823
665,1.45342e+06
666,2.19876e+06
667,631584
668,370697
669,263367
670,204775
671,167917
672,142632
673,124153
674,110155
675,99083.4
676,90127.5
677,82827.6
678,76688.6
679,71421.4
680,66940.1
681,63053.5
682,59553
683,56430.6
684,53628.2
685,50980.3
686,48413.5
687,45928.7
688,43322.4
689,41311.9
690,47947
691,304630
692,119557
693,77375.8
694,66453
695,61770.9
696,59552.6
697,58571.7
698,58184.8
699,58553.1
700,59396.7
701,60725.9
702,62545.5
703,64905
704,67827.6
705,71539.6
706,76188.7
707,81902.4
708,89260.6
709,98464.2
710,110610
711,127232
712,150939
713,187418
714,250133
715,382967
716,849169
717,3.36583e+06
718,553391
719,299083
720,204446
721,155572
722,126036
723,106868
724,93787.8
725,84948.8
726,79098.9
727,75576.8
728,74143.2
729,74532.2
730,76581.5
731,80620.7
732,86500.5
733,94631.1
734,105599
735,120238
736,140108
737,168010
738,209014
739,274915
740,396190
741,691300
742,2.462e+06
743,1.67685e+06
744,640517
745,401750
746,295751
747,235917
748,197582
749,170882
750,151299
751,136315
752,124442
753,114974
754,107217
755,100639
756,95070.5
757,90515.7
758,86484.6
759,83032.6
760,80132.4
761,77467.1
762,75253.5
763,73346.2
764,71811.5
765,70559.4
766,69630.9
767,69384.2
768,3.7919e+06
769,65397.9
770,65841.7
771,66006.4
772,66254.6
773,66759.9
774,67477.2
775,68527.7
776,69737.6
777,71445.6
778,73480.5
779,76067.5
780,79242.8
781,83042.5
782,87794.2
783,93681.5
784,101120
785,110553
786,122539
787,138766
788,161149
789,193707
790,245065
791,336787
792,544619
793,1.44871e+06
794,2.18104e+06
795,625104
796,367398
797,262253
798,205643
799,170827
800,147408
801,131072
802,119289
803,110703
804,104508
805,100182
806,97465.4
807,96044.4
808,95983.2
809,97359.5
810,100105
811,104706
812,111565
813,121499
814,136159
815,158549
816,195747
817,267721
818,460337
819,2.57457e+06
820,600707
821,246178
822,144440
823,95664.3
824,66572.5
825,46953.9
826,32523.8
827,21403.6
828,12925.9
829,8731.14
830,11879
831,18475.3
832,26315.7
833,34867
834,44511.5
835,55496.9
836,68580.7
837,84476.7
838,104787
839,131619
840,169518
841,226835
842,325084
843,532192
844,1.25783e+06
845,5.3032e+06
846,923886
847,527970
848,380346
849,303673
850,257386
851,226767
852,205495
853,190229
854,179212
855,171388
856,166258
857,163320
858,162325
859,163323
860,166582
861,172105
862,180779
863,193278
864,211240
865,237487
866,277345
867,342744
868,465073
869,765350
870,2.57615e+06
871,1.66291e+06
872,603058
873,359808
874,252550
875,192482
876,154108
877,127799
878,108574
879,93869
880,82429
881,73116.1
882,65608.3
883,59232.1
884,53905.3
885,49220.9
886,45215.3
887,41624.9
888,38452.4
889,35594.6
890,33010.2
891,30557
892,28552.7
893,26703.8
894,25124.4
895,24511.1
896,4.67385e+06
897,17294.2
898,17048.7
899,16348
900,15858.7
901,15594
902,15757.2
903,16373.5
904,17518
905,19365.1
906,21635.6
907,24591.4
908,28166.2
909,32494.8
910,37800.8
911,44084.4
912,51719
913,61268.7
914,73346.7
915,89000.3
916,110248
917,140694
918,188079
919,271836
920,460083
921,1.27459e+06
922,1.99105e+06
923,589156
924,355842
925,259960
926,207790
927,175085
928,152868
929,136858
930,125004
931,116212
932,109484
933,104688
934,101360
935,99971.1
936,100135
937,102094
938,106426
939,113654
940,124911
941,142079
942,167892
943,208774
944,278083
945,414203
946,783555
947,4.86557e+06
948,1.27435e+06
949,592516
950,399922
951,309988
952,258790
953,226259
954,204291
955,189007
956,178245
957,170948
958,166158
959,163846
960,163459
961,165362
962,169513
963,176418
964,186842
965,201647
966,222747
967,253320
968,298941
969,371596
970,499670
971,775628
972,1.75351e+06
973,7.13508e+06
974,1.2077e+06
975,675028
976,478282
977,377514
978,317386
979,278401
980,251673
981,233016
982,219915
983,210736
984,204859
985,201717
986,201043
987,202667
988,206833
989,213800
990,224287
991,239097
992,260315
993,290811
994,336996
995,412200
996,552354
997,896115
998,2.96613e+06
999,1.87975e+06
1000,667288
1001,388939
1002,266111
1003,197305
1004,153430
1005,123260
1006,101229
1007,84554
1008,71700.3
1009,61236.3
1010,52776.8
1011,45824.4
1012,39943.8
1013,35025.6
1014,30913.9
1015,27385.6
1016,24283.6
1017,21677.9
1018,19396.6
1019,17577.9
1020,16247.3
1021,15279.7
1022,14859.3
1023,15808.8
